REG ANS;DATA;IED;Fatur;EVA;EBITDATRAD;RSV;ROA;ROE;MEBITDA;PMRE;PMPE;Ciclo;Imob;PCT;CE;LC;LG;ISTR;IDC;IDA;TAM;HHI;CR4;CR8;CR12;CRn;Benefassist;Benefexcl;Beneftot;TKM;CMg;Lerner;Reclam;Ireclam;Segmentacao;Modalidade;Estado;FEA
319872;01/10/2009;0;6875674,94;47427,29;342398,29;0,09;0,08;0,09;0,08;44,07;0;44,07;0,6;0,15;1;3,04;3,04;0,54;0,09;0,33;14,55;0,06;0,41;0,16;0,07;0,36;19072;0;19072;30,04;40,56;;2;1,05;MÉDICO-HOSPITALAR;Medicina de Grupo;RJ;0
319996;01/10/2009;0;674133446;3348208,58;8469864,74;0,15;0,05;0,19;0,04;36,99;0,05;36,94;0,17;2,79;0,62;1,48;1,13;0,86;0,04;0,11;18,93;0,02;0,24;0,11;0,07;0,58;350925;0;350925;160,08;94,68;0,41;106;3,02;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
320111;01/10/2009;0;54,48;-22119,13;-18537,3;;-0,47;-0,49;;0;0;0;0,08;0,03;1;35,19;35,19;0;0;;10,61;0,06;0,41;0,16;0,07;0,36;;;;;;;0;;MÉDICO-HOSPITALAR;Medicina de Grupo;DF;0
320251;01/10/2009;0;61012196,62;-812602,93;358224,25;0,04;0,02;0,03;0,03;11,86;32,17;-20,31;0,32;1,11;0,95;1,33;1,3;0,81;0,03;0,19;16,74;0,02;0,24;0,11;0,07;0,58;33085;0;33085;148,28;186,56;;6;1,81;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;GO;0
320269;01/10/2009;0;5628523,48;368326,72;1200306,98;-4,52;-0,02;-0,29;0,5;22,64;42,32;-19,68;0,61;12,66;0,4;1,03;0,43;0,97;0;3,1;17,03;0,06;0,41;0,16;0,07;0,36;4357;0;4357;107,65;135,98;;5;11,48;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
320510;01/10/2009;0;52953445,28;281085,61;672736,33;0,19;0,07;0,35;0,06;10,48;36,44;-25,96;0,05;3,7;0,49;1,25;1,21;0,8;0,04;0,14;16,61;0,02;0,24;0,11;0,07;0,58;21958;0;21958;198,22;236,49;;7;3,19;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
320684;01/10/2009;0;1176882,4;-1155185,83;-1414602,62;-10,36;-0,12;-2,38;-1,98;30,25;22,82;7,43;0,8;18,49;0,67;0,32;0,22;0,81;0,09;0,17;16,27;0,04;0,31;0,14;0,11;0,44;649;0;649;151,11;-426,86;;1;15,41;MÉDICO-HOSPITALAR;Filantropia;BA;0
320706;01/10/2009;0;128660579,5;-3618147,92;-786886,18;-0,01;0;-0,01;0,04;10,39;24,57;-14,18;0,35;2,16;0,49;1,41;0,95;0,85;0,02;0,13;17,68;0,02;0,24;0,11;0,07;0,58;56147;0;56147;187,94;117,89;0,37;9;1,6;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;ES;0
320820;01/10/2009;0;30546614,53;579496,79;1015547,57;0,4;0,12;0,22;0,09;33,58;28,86;4,72;0,03;0,79;0,44;3,68;2,19;0,81;0;0,14;16,28;0,06;0,41;0,16;0,07;0,36;20462;0;20462;124,4;161,63;;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;RS;0
320838;01/10/2009;0;1234465,67;3346,26;27941,81;1,14;0,02;0,11;0,14;143,32;0;143,32;0,06;6,01;0,66;1,46;1,1;0,94;0;2,97;14,97;0,02;0,24;0,11;0,07;0,58;725;0;725;141,89;110,47;0,22;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
320862;01/10/2009;0;32812796,94;-383016,19;-22758,04;0;0;0;0,01;17,49;16,96;0,53;0,49;2,76;0,73;0,84;0,7;0,86;0,02;0,1;15,81;0,02;0,24;0,11;0,07;0,58;16046;0;16046;168,97;121,68;0,28;4;2,49;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PR;0
320889;01/10/2009;0;115827214,1;2415632,24;3110290,85;0,11;0,09;0,38;0,05;7,39;22,7;-15,31;0,05;3,11;0,76;1,65;1,26;0,69;0,05;0,17;17,04;0,06;0,41;0,16;0,07;0,36;80684;0;80684;115,08;85,54;0,26;557;69,03;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
320897;01/10/2009;0;46784919,1;859080,98;1224364,45;0,22;0,16;0,41;0,07;14,66;31,92;-17,26;0,08;1,56;0,87;1,73;1,51;0,7;0,02;0,13;16,3;0,02;0,24;0,11;0,07;0,58;19036;0;19036;204,81;107,45;0,48;1;0,53;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RJ;0
320960;01/10/2009;0;4245142,79;633746,04;-385854,75;-0,42;-0,54;0,05;-0,15;33,88;0;33,88;0,22;;0,56;0,05;0,06;0,52;0,09;0,6;13,79;0,16;0,64;0,12;0,05;0,19;0;26424;26424;13,39;12,73;0,05;3;1,14;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
321036;01/10/2009;0;20977381,75;-1485794,88;-1516171,79;-0,89;-0,24;1,68;-0,11;12,92;37,64;-24,72;0,07;;0,49;0,43;0,82;0,85;0,01;0,16;15,77;0,02;0,24;0,11;0,07;0,58;8861;0;8861;195,67;-85,83;;1;1,13;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;BA;0
321044;01/10/2009;0;377943756,4;-6220379,87;4807963,59;0,03;0,01;0,05;0,09;15,91;24,36;-8,46;0,34;3,6;0,48;0,82;0,85;0,79;0;0,15;18,74;0,02;0,24;0,11;0,07;0,58;99893;0;99893;303,9;-2065597,57;;19;1,9;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PB;0
321087;01/10/2009;0;30841953,93;1685799,62;2127020,1;0,38;0,21;0,39;0,13;24,36;0,67;23,69;0,09;0,87;0,7;1,72;1,95;0,68;0,01;0,24;16,21;0,02;0,24;0,11;0,07;0,58;8438;0;8438;304,59;601,46;;2;2,37;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RJ;0
321095;01/10/2009;0;9937412,67;-3048066,99;-317262,28;-0,98;-0,11;-0,21;-0,04;48,08;0,11;47,98;0,67;0,87;0,62;1,12;0,71;0,73;0;2,2;16,44;0,04;0,31;0,14;0,11;0,44;7204;0;7204;114,95;549,48;;0;0;MÉDICO-HOSPITALAR;Filantropia;MG;0
321125;01/10/2009;0;16978348,16;-1913,81;162747,52;0,04;0,04;0,14;0,03;4,4;39,13;-34,73;0,18;2,73;0,44;2,31;1,11;0,6;0,01;0,35;15,29;0,03;0,27;0,15;0,11;0,46;0;50051;50051;28,27;45,22;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;AL;0
321273;01/10/2009;0;203576401,6;5238347,28;11679533,15;1,16;0,12;0,2;0,13;30,88;11,28;19,6;0,43;0,62;0,58;2,14;1,49;0,91;0;0,07;18,43;0,02;0,24;0,11;0,07;0,58;78308;0;78308;215,43;182,75;0,15;14;1,79;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SC;0
321320;01/10/2009;0;8228261,01;457058,47;672753,66;0,8;0,18;0,22;0,15;23,16;36,96;-13,8;0,24;0,24;1;1,13;3,94;0,81;0;0,05;15,26;0,04;0,31;0,14;0,11;0,44;5220;0;5220;131,36;-1,48;;0;0;MÉDICO-HOSPITALAR;Filantropia;SP;0
321338;01/10/2009;0;29888308,25;1407558,99;1170966,03;0,1;0,06;0,32;0,07;87,41;26,72;60,69;0,29;4,55;0,55;1,57;0,87;0,6;0,01;0,25;16,3;0,06;0,41;0,16;0,07;0,36;22168;0;22168;109,47;-112,46;;3;1,35;MÉDICO-HOSPITALAR;Medicina de Grupo;RO;0
321869;01/10/2009;0;93755763,09;9047276,87;8000492,81;-0,16;0,37;-0,59;0,15;89,11;37,42;51,68;0,11;;0,51;1,03;0,54;1,78;0;0,21;16,8;0,07;0,39;0,13;0,1;0,38;36250;0;36250;215,53;565,74;;14;3,86;MÉDICO-HOSPITALAR;Autogestão;RJ;0
321931;01/10/2009;0;6349283,24;-2293175,94;-1845064,63;1,32;0,02;0,02;0,92;;;;0,74;0,18;0,69;2,45;1,7;0,79;0;5,18;18,04;0,04;0,31;0,14;0,11;0,44;1865;0;1865;283,7;-324,58;;0;0;MÉDICO-HOSPITALAR;Filantropia;RJ;0
321958;01/10/2009;0;67624540,73;-253015,73;121435,16;0;0;0,02;0,02;28,88;16,29;12,59;0,15;8,74;0,52;1,23;0,95;0,76;0,04;0,24;16,58;0,02;0,24;0,11;0,07;0,58;22975;0;22975;244,05;205,01;0,16;3;1,31;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;CE;0
321991;01/10/2009;0;22327178,46;973326,28;1615011,08;0,19;0,22;0,82;0,13;17,06;31,99;-14,92;0,3;2,76;0,76;1,1;0,95;0,55;0,02;0,38;15,45;0,16;0,64;0,12;0,05;0,19;0;121327;121327;14,55;-16,6;;2;0,16;MÉDICO-HOSPITALAR;Odontologia de Grupo;PE;1
322261;01/10/2009;0;79902162,48;-765173,09;154622,18;-0,07;-0,04;-0,32;0,01;85,7;20,01;65,7;0,25;7,54;0,63;1,18;0,85;0,77;0,01;0,37;16,88;0,02;0,24;0,11;0,07;0,58;33706;0;33706;197,55;17,25;0,91;5;1,48;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;BA;0
322326;01/10/2009;0;6043927,67;-421747,72;1785233,46;0,18;0,02;0,03;0,51;50,05;0;50,05;0,66;0,95;0,85;0,76;0,7;0,68;0;4;16,45;0,04;0,31;0,14;0,11;0,44;35708;0;35708;14,1;4,14;0,71;0;0;MÉDICO-HOSPITALAR;Filantropia;MG;0
322547;01/10/2009;0;33419836,66;-130816,77;90882,07;0,04;0,02;0,07;0,02;7,49;10,05;-2,56;0,18;2,57;0,36;1,65;1,14;0,71;0,02;0,24;16,21;0,02;0,24;0,11;0,07;0,58;12013;0;12013;227,89;-107,71;;9;7,49;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RJ;0
322571;01/10/2009;0;41548454,78;-693437,14;587111,63;0,25;0,05;0,14;0,08;21,27;18,6;2,67;0,08;2,03;0,35;3,64;1,37;0,86;0;0,16;16,76;0,02;0,24;0,11;0,07;0,58;18487;0;18487;185,85;399,54;;4;2,16;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PR;0
322717;01/10/2009;0;4404608,44;-383923,62;-112451,39;-0,13;-0,12;-0,38;-0,03;;;;0,21;2,22;0,61;0,7;1,15;0,08;0;0,35;14,81;0,02;0,24;0,11;0,07;0,58;1388;0;1388;261,25;79,48;0,7;1;7,2;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;CE;0
322831;01/10/2009;0;37431470,93;27547,75;1261187,51;0,17;0,02;0,08;0,1;16,18;24,16;-7,98;0,49;2,95;0,57;1,15;0,69;0,93;0,01;0,13;16,49;0,02;0,24;0,11;0,07;0,58;24606;0;24606;123,94;107,05;0,14;2;0,81;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
322890;01/10/2009;0;2689364,53;-377776,74;-127683,56;-0,49;-0,31;-3,28;-0,06;15,16;24,97;-9,81;0,56;9,42;0,65;0,18;0,49;0,37;0,06;0,74;14,25;0,16;0,64;0,12;0,05;0,19;0;11740;11740;18,48;54,61;;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
322920;01/10/2009;0;32988656,62;-941736,23;737825,74;0,29;0,04;0,07;0,06;21,86;18,5;3,35;0,71;0,82;0,9;0,7;0,65;0,86;0;0,06;16,83;0,04;0,31;0,14;0,11;0,44;17513;0;17513;156,97;415,66;;2;1,14;MÉDICO-HOSPITALAR;Filantropia;SP;0
323004;01/10/2009;0;12837435,65;-118840,11;-68945,87;0;0;0;0,02;18,02;30,28;-12,26;0,21;3,55;0,47;1,08;1,01;0,58;0;0,22;15,39;0,02;0,24;0,11;0,07;0,58;5739;0;5739;182,61;-98,14;;3;5,23;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
323055;01/10/2009;0;24761138,88;-260434,3;-52419,59;0,38;0,09;0,27;0,06;17,89;23,78;-5,89;0,3;2,12;0,6;1,34;1,03;0,88;0;0,19;15,88;0,02;0,24;0,11;0,07;0,58;16559;0;16559;122,46;-547,3;;1;0,6;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
323080;01/10/2009;0;2127609078;73544659,88;86388851,64;-18,88;0,24;0,72;0,08;54,4;25,72;28,68;0,05;1,95;0,66;1,71;1,44;1;0;0,11;19,82;0,07;0,39;0,13;0,1;0,38;613513;0;613513;288,99;-434,22;;498;8,12;MÉDICO-HOSPITALAR;Autogestão;DF;0
323268;01/10/2009;0;78568719,09;1203163,37;2220118,73;0,08;0,03;0,34;0,07;13,98;23,43;-9,45;0,28;10,58;0,32;0,61;0,78;0,76;0,04;0,15;17,2;0,02;0,24;0,11;0,07;0,58;33641;0;33641;190,41;80,59;0,58;5;1,49;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PE;0
323349;01/10/2009;0;10908825,59;204683,54;363069,11;0,17;0,09;0,34;0,06;37,14;38,21;-1,07;0,07;2,73;1;1,03;1,27;0,81;0,03;0,11;14,68;0,06;0,41;0,16;0,07;0,36;7596;0;7596;118,07;55,01;0,53;1;1,32;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
323357;01/10/2009;0;33714156,12;-780892,65;377014,78;0,03;0,01;0,08;0,1;51,8;60,29;-8,49;0,11;6,45;0,42;1,13;1,03;0,7;0;0,3;16,6;0,02;0,24;0,11;0,07;0,58;10110;0;10110;277,89;135,62;0,51;5;4,95;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RJ;0
323373;01/10/2009;0;337002,59;-15460,07;1246,19;-0,07;-0,04;-0,08;0,01;0;0;0;0,2;1,24;1;1,44;1,44;0;0;0,79;12,9;0,16;0,64;0,12;0,05;0,19;0;1775;1775;15,82;0;1;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;RS;0
323632;01/10/2009;0;591602,36;-45367,32;-38385,23;-0,15;-0,11;-0,37;-0,09;138,4;35,62;102,78;0,02;2,21;0,31;2,86;1,42;0,32;0;0,72;12,7;0,03;0,27;0,15;0,11;0,46;0;1881;1881;26,21;-36,45;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;MG;0
323811;01/10/2009;0;69732740,58;-1500698,56;-1004777,19;-0,21;-0,15;-1,82;-0,02;5,31;42,42;-37,11;0,66;11,03;0,69;0,43;0,37;0,73;0,04;0,25;16,54;0,06;0,41;0,16;0,07;0,36;39439;0;39439;143,14;175,82;;13;3,3;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
323926;01/10/2009;0;29091980,46;718439,7;1234174,73;0,28;0,12;0,3;0,1;6,77;11,4;-4,63;0,17;1,57;0,45;1,92;1,36;0,75;0,01;0,16;16,17;0,02;0,24;0,11;0,07;0,58;15856;0;15856;149,2;56,05;0,62;2;1,26;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
323942;01/10/2009;0;14855521,93;-1142043,86;495243,15;0,04;0,01;0,02;0,16;11,99;44,22;-32,23;0,53;1,07;0,9;0,72;0,92;0,64;0;1,57;16,5;0,04;0,31;0,14;0,11;0,44;7589;0;7589;163,13;123,8;0,24;0;0;MÉDICO-HOSPITALAR;Filantropia;MG;0
323977;01/10/2009;0;30762039,49;-3454375,09;-1432386,23;-0,62;-0,12;-2,09;-0,07;3,86;35,97;-32,11;0,75;17,02;0,5;0,44;0,26;0,83;0,02;0,37;16,67;0,04;0,31;0,14;0,11;0,44;17387;0;17387;147,44;37,06;0,75;1;0,58;MÉDICO-HOSPITALAR;Filantropia;SP;0
323993;01/10/2009;0;132470187,5;-3548924,05;-828002,55;-0,15;-0,09;-2,1;0;31,71;63,47;-31,76;0,31;21,54;0,72;0,58;0,72;0,65;0,01;0,19;17,63;0,02;0,24;0,11;0,07;0,58;40132;0;40132;271,44;655,65;;11;2,74;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RJ;0
324159;01/10/2009;0;26886466,56;549116,43;1066135,55;0,25;0,07;0,27;0,1;46,94;35,16;11,79;0,12;2,82;0,47;1,21;1,2;0,78;0,01;0,29;16,36;0,02;0,24;0,11;0,07;0,58;18618;0;18618;118,91;-62,71;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
324175;01/10/2009;0;7134925,08;-9991,45;323460,45;0,25;0,04;0,12;0,12;34,07;16,28;17,79;0,25;2,15;0,49;1,45;1,09;0,78;0,02;0,73;15,58;0,02;0,24;0,11;0,07;0,58;3895;0;3895;136,51;198,03;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
324213;01/10/2009;0;20496098,8;-2035873,3;-430568,22;0,04;0,01;0,02;0,13;;;;0,19;2,51;0,69;1,49;1,13;0,02;0;2,15;18,06;0,02;0,24;0,11;0,07;0,58;55303;0;55303;30,88;1,87;0,94;3;0,54;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PB;0
324299;01/10/2009;0;22339035,56;33913,3;207350,18;0,08;0,03;0,08;0,02;42,86;8,11;34,75;0,35;1,47;0,78;1,41;1,1;0,84;0,02;0,13;15,32;0,06;0,41;0,16;0,07;0,36;11431;410;11841;148,04;71,78;0,52;2;1,69;MÉDICO-HOSPITALAR;Medicina de Grupo;RJ;0
324345;01/10/2009;0;44801086,59;-197857,14;-48947,38;0,01;0,01;0,04;0,01;8,88;8,61;0,27;0,12;3,12;0,62;1,47;1,17;0,76;0,03;0,19;15,88;0,02;0,24;0,11;0,07;0,58;19098;0;19098;191,67;304,23;;3;1,57;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;BA;0
324361;01/10/2009;0;258839344,8;-10864969,65;3091047,28;0,67;0,08;0,09;0,12;37,76;49,67;-11,91;0,07;0,19;0,98;5,95;5,83;0,85;0;0,12;19,15;0,07;0,39;0,13;0,1;0,38;48264;0;48264;446,92;35,25;0,92;8;1,66;MÉDICO-HOSPITALAR;Autogestão;RJ;0
324477;01/10/2009;0;491704248,5;3007797,93;2477915,46;0,06;0,09;1,75;0,01;18,95;0,21;18,74;0;18,99;0,54;1,94;1,05;0,85;0;0,14;17,25;0,07;0,39;0,13;0,1;0,38;155935;17656;173591;236,05;24670,72;;22;1,27;MÉDICO-HOSPITALAR;Autogestão;RJ;0
324493;01/10/2009;0;41046785,19;-1010895,29;430092,63;0,18;0,06;0,08;0,08;4,53;18,11;-13,57;0,07;0,42;1;2,95;3,16;0,73;0;0,16;16,86;0,07;0,39;0,13;0,1;0,38;13924;0;13924;244,36;336,42;;0;0;MÉDICO-HOSPITALAR;Autogestão;SP;0
324523;01/10/2009;0;861629,32;54812,83;255015,24;0,4;0,08;0,15;0,65;38,39;0;38,39;0,37;0,86;0,6;1,9;1,38;0,03;0;3,25;14,74;0,02;0,24;0,11;0,07;0,58;16582;0;16582;4,33;1,48;0,66;2;1,21;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PB;0
324566;01/10/2009;0;30785102,12;-679768,99;-594065,49;-0,18;-0,11;-0,61;-0,03;37,11;32,02;5,1;0,35;4,76;0,82;0,86;0,79;0,81;0,01;0,22;15,6;0,02;0,24;0,11;0,07;0,58;17483;0;17483;146,74;-34,83;;1;0,57;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;GO;0
324698;01/10/2009;0;96374123,79;1123409,5;1824423,44;0,08;0,06;0,18;0,03;40,77;11,96;28,81;0,46;1,72;0,88;0,95;0,86;0,74;0,02;0,21;16,67;0,06;0,41;0,16;0,07;0,36;62548;79;62627;125,25;238,92;;12;1,92;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
324710;01/10/2009;0;2328629,37;333433,14;502798,39;0,45;0,63;1,72;0,38;1,87;0;1,87;0,15;1,71;0,34;1,36;1,34;0,42;0;0,23;13,22;0,16;0,64;0,12;0,05;0,19;0;11694;11694;15,77;-0,1;;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
324809;01/10/2009;0;10418079,39;-1731790,98;-2310466,15;1,83;-3,12;1,12;-0,4;4,92;41,34;-36,42;0,82;;0,65;0,06;0,05;1,23;0;0,1;13,54;0,06;0,41;0,16;0,07;0,36;5781;0;5781;136,94;-743,29;;14;24,22;MÉDICO-HOSPITALAR;Medicina de Grupo;GO;0
325031;01/10/2009;0;35425399,11;-486102,91;-150247,54;-0,01;0;-0,02;0,05;8,9;21,95;-13,06;0,08;7,41;0,19;1,57;1,05;0,81;0;0,26;16,97;0,02;0,24;0,11;0,07;0,58;28538;0;28538;103,45;-463,88;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
325074;01/10/2009;0;337921834,9;-2751309,29;3809667,11;-0,03;-0,01;-0,02;0,02;12,76;20,89;-8,13;0,75;1,67;0,43;0,91;0,39;0,76;0,08;0,18;18,68;0,06;0,41;0,16;0,07;0,36;310252;0;310252;89,33;57,66;0,35;447;14,41;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
325082;01/10/2009;0;12608241,13;-27990,95;214540,06;0,49;0,09;0,19;0,13;24,41;32,6;-8,19;0,02;1,21;0,42;4,26;1,79;0,77;0;0,18;16,11;0,02;0,24;0,11;0,07;0,58;6769;0;6769;154,76;173,46;;4;5,91;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;BA;0
325236;01/10/2009;0;14860387,46;-2247477,27;-1836267,83;-1,47;-1,11;1,66;-0,19;5,51;36,88;-31,38;0,59;;0,78;0,31;0,25;0,8;0,02;0,38;14,66;0,06;0,41;0,16;0,07;0,36;11184;0;11184;106,43;52,15;0,51;10;8,94;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
325465;01/10/2009;0;20665667,68;459896,58;849292,35;0,29;0,21;0,42;0,09;5,15;30,55;-25,39;0,27;0,98;1;1,48;1,48;0,69;0;0,18;15,45;0,06;0,41;0,16;0,07;0,36;13838;0;13838;120,36;-279,96;;2;1,45;MÉDICO-HOSPITALAR;Medicina de Grupo;MG;0
325571;01/10/2009;0;539328587,9;-1349642,33;2921131,27;0,04;0,01;0,04;0,02;20,6;18,11;2,49;0,45;2,1;0,62;0,86;0,81;0,85;0;0,17;18,85;0,02;0,24;0,11;0,07;0,58;259890;0;259890;170,59;12,64;0,93;25;0,96;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RS;0
325759;01/10/2009;0;4082664,04;-659858,43;-208280,42;-0,03;-0,02;-0,02;0,02;33,31;0;33,31;0,17;0,07;1;13,05;13,17;0;0;1,12;15,31;0,02;0,24;0,11;0,07;0,58;4947;0;4947;68,03;70,49;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PE;0
326089;01/10/2009;0;23634058,79;-579307,16;-196386,79;-0,11;-0,02;-0,1;0;18,57;30,33;-11,76;0,32;3,84;0,3;1,17;0,85;0,78;0,01;0,28;16,63;0,02;0,24;0,11;0,07;0,58;10381;0;10381;188,08;885,89;;5;4,82;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
326305;01/10/2009;1;5669718852;-28767083,34;51359637,1;0,07;0,03;0,05;0,04;9,94;37,14;-27,2;0,62;0,67;0,79;1,04;0,96;0,75;0,05;0,16;21,39;0,06;0,41;0,16;0,07;0,36;1291382;409118;1700500;273,91;340,08;;1122;6,6;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;1
326356;01/10/2009;0;35453293,35;-667492,18;-389829,63;-0,04;-0,04;-0,19;0,01;6,77;37,83;-31,05;0,18;4,31;0,92;1,09;1,01;0,76;0,05;0,2;15,43;0,06;0,41;0,16;0,07;0,36;14140;312;14452;200,49;327,78;;3;2,08;MÉDICO-HOSPITALAR;Medicina de Grupo;SC;0
326500;01/10/2009;0;164183530,7;420787,21;1828261,64;0,06;0,05;0,33;0,03;6,21;36,51;-30,3;0,7;5,59;0,77;0,44;0,35;0,75;0,01;0,23;17,15;0,06;0,41;0,16;0,07;0,36;96387;4219;100606;130,71;-101,29;;2;0,2;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
326755;01/10/2009;0;44674315,17;11150003,77;7095055,52;0,86;0,07;-0,06;0,3;4,1;12,03;-7,94;0,66;;0,13;0,62;0,16;0,81;0,02;1,61;17,99;0,04;0,31;0,14;0,11;0,44;23366;0;23366;159,33;0;1;6;2,57;MÉDICO-HOSPITALAR;Filantropia;PR;0
326861;01/10/2009;0;255192434,4;-1852902,74;762141,44;-0,06;-0,03;-0,72;0,01;5,24;6,14;-0,91;0,61;24,36;0,84;0,4;0,41;0,9;0;0,13;17,3;0,06;0,41;0,16;0,07;0,36;98033;0;98033;212,48;13,55;0,94;5;0,51;MÉDICO-HOSPITALAR;Medicina de Grupo;BA;0
326933;01/10/2009;0;276862764,6;1397369,09;2451544,54;0,09;0,1;0,56;0,03;3,16;18,96;-15,81;0,05;4,78;0,89;1,29;1,15;0,82;0,04;0,11;17,13;0,06;0,41;0,16;0,07;0,36;26657;3843;30500;746,94;519,94;0,3;4;1,31;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;1
327093;01/10/2009;0;2576105,01;9352,23;35022,37;0,08;0,07;0,17;0,05;41,01;33,98;7,03;0,09;1,44;0,43;3,52;1,54;0,49;0,01;0,42;13,67;0,03;0,27;0,15;0,11;0,46;0;8826;8826;24,32;-107,84;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;SP;0
327263;01/10/2009;0;82753538,05;131680,68;426578,57;-0,19;-0,09;0,1;0,03;15,33;109,52;-94,19;0,25;;0,91;0,23;0,4;0,85;0,04;0,14;16,63;0,02;0,24;0,11;0,07;0,58;29696;0;29696;232,22;133,78;0,42;59;19,87;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PE;0
327328;01/10/2009;0;878629,07;-35559,95;6972,33;-0,43;-0,09;-0,17;0,01;18,77;0;18,77;0,75;0,9;0,85;0,62;0,53;0,86;0,01;1,35;12,78;0,06;0,41;0,16;0,07;0,36;881;0;881;83,11;197,75;;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;CE;0
327352;01/10/2009;0;16357290,72;683443,84;995181,42;0,38;0,17;0,31;0,13;16,11;25,81;-9,7;0,13;0,86;0,67;2,35;1,88;0,72;0,01;0,22;15,64;0,02;0,24;0,11;0,07;0,58;5908;0;5908;230,72;-175,31;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
327417;01/10/2009;0;86923722,7;901578,05;1048942,26;0,21;0,13;0,51;0,04;3,83;39,89;-36,06;0,31;3,07;0,9;1,02;0,92;0,85;0,01;0,12;16,37;0,06;0,41;0,16;0,07;0,36;43712;0;43712;162,48;102,35;0,37;17;3,89;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
327441;01/10/2009;0;2120188,42;15691,2;67881,23;0,02;0,04;0,09;0,06;13,32;0;13,32;0,06;1,21;1;1,65;1,72;0,58;0;0,38;12,52;0,03;0,27;0,15;0,11;0,46;0;3106;3106;54,62;-6,6;;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;MG;0
